id,Nombre,Fecha
600,"TheStreet, Inc.",10/15/2021
601,"Avangrid, Inc.",02/03/2021
602,Tantech Holdings Ltd.,02/14/2021
603,Foresight Autonomous Holdings Ltd.,04/21/2021
604,China New Borun Corporation,03/27/2021
605,State Street Corporation,07/04/2021
606,"First Industrial Realty Trust, Inc.",08/02/2021
607,First Trust Dorsey Wright Dynamic Focus 5 ETF,05/24/2021
608,BlackRock Municipal Target Term Trust Inc. (The),01/03/2021
609,National Retail Properties,09/02/2021
610,"Universal Health Services, Inc.",06/21/2021
611,"Kingsway Financial Services, Inc.",09/29/2021
612,Virtusa Corporation,05/08/2021
613,Nuveen Select Tax Free Income Portfolio II,10/28/2021
614,Gentex Corporation,08/23/2021
615,Invitae Corporation,10/05/2021
616,MGM Resorts International,10/15/2021
617,Cimarex Energy Co,12/20/2021
618,"Sierra Wireless, Inc.",03/06/2021
619,"Quanta Services, Inc.",01/17/2021
620,"Wynn Resorts, Limited",12/03/2021
621,Wintrust Financial Corporation,01/30/2021
622,Hugoton Royalty Trust,01/25/2021
623,"Town Sports International Holdings, Inc.",08/01/2021
624,Bryn Mawr Bank Corporation,06/18/2021
625,"A V Homes, Inc.",11/27/2021
626,Fair Isaac Corporation,08/28/2021
627,"Morgan Stanley Emerging Markets Fund, Inc.",05/24/2021
628,Welltower Inc.,09/17/2021
629,Public Storage,08/30/2021
630,Horizons DAX Germany ETF,04/15/2021
631,Seaspan Corporation,07/12/2021
632,"Validus Holdings, Ltd.",07/22/2021
633,H. B. Fuller Company,09/08/2021
634,Perrigo Company,05/01/2021
635,"CBIZ, Inc.",06/22/2021
636,Gabelli Utility Trust (The),07/18/2021
637,Public Service Enterprise Group Incorporated,07/14/2021
638,CubeSmart,08/08/2021
639,"Warrior Met Coal, Inc.",05/27/2021
640,Bank of America Corporation,12/22/2021
641,Xerox Corporation,07/05/2021
642,PPlus Trust,12/10/2021
643,Unisys Corporation,10/13/2021
644,Pacific Special Acquisition Corp.,08/22/2021
645,"LogMein, Inc.",10/18/2021
646,"Firsthand Technology Value Fund, Inc.",01/23/2021
647,"Banc of California, Inc.",09/14/2021
648,"TIER REIT, Inc.",05/03/2021
649,Edison International,02/21/2021
650,"Eldorado Resorts, Inc.",04/17/2021
651,Fuling Global Inc.,01/11/2021
652,CBO (Listing Market - NYSE - Networks A/E),08/18/2021
653,MSG Networks Inc.,12/19/2021
654,eBay Inc.,02/11/2021
655,Target Corporation,05/28/2021
656,Marathon Petroleum Corporation,04/14/2021
657,Viad Corp,08/30/2021
658,John Bean Technologies Corporation,07/12/2021
659,CONMED Corporation,11/14/2021
660,"The Chefs' Warehouse, Inc.",04/18/2021
661,"Digital Ally, Inc.",11/28/2021
662,"ServiceMaster Global Holdings, Inc.",10/17/2021
663,Eaton Vance Enhanced Equity Income Fund II,11/08/2021
664,Glen Burnie Bancorp,11/05/2021
665,"IF Bancorp, Inc.",08/28/2021
666,Cray Inc,09/21/2021
667,"Laureate Education, Inc.",01/17/2021
668,"Allscripts Healthcare Solutions, Inc.",09/28/2021
669,Allegiant Travel Company,09/18/2021
670,First Trust Switzerland AlphaDEX Fund,10/07/2021
671,Cencosud S.A.,09/19/2021
672,VivoPower International PLC,08/11/2021
673,"DineEquity, Inc",02/03/2021
674,ChannelAdvisor Corporation,12/16/2021
675,VelocityShares 3x Inverse Silver ETN,06/05/2021
676,"Alliance Resource Partners, L.P.",07/15/2021
677,Platform Specialty Products Corporation,08/31/2021
678,"MabVax Therapeutics Holdings, Inc.",12/23/2021
679,"QTS Realty Trust, Inc.",04/01/2021
680,LKQ Corporation,06/06/2021
681,Globant S.A.,12/10/2021
682,Insight Select Income Fund,12/10/2021
683,Asia Pacific Wire & Cable Corporation Limited,07/15/2021
684,Harmony Merger Corp.,06/15/2021
685,"Genomic Health, Inc.",10/16/2021
686,Galmed Pharmaceuticals Ltd.,09/05/2021
687,"Catabasis Pharmaceuticals, Inc.",07/27/2021
688,"Nuance Communications, Inc.",01/05/2021
689,Two Harbors Investments Corp,07/09/2021
690,TiVo Corporation,08/11/2021
691,iShares S&P/Citigroup International Treasury Bond Fund,05/19/2021
692,"Littelfuse, Inc.",11/15/2021
693,First Trust TCW Opportunistic Fixed Income ETF,06/26/2021
694,Cypress Semiconductor Corporation,10/23/2021
695,"Natera, Inc.",03/21/2021
696,"Universal Logistics Holdings, Inc.",02/19/2021
697,MTGE Investment Corp.,09/25/2021
698,"OpGen, Inc.",08/18/2021
699,NQ Mobile Inc.,10/07/2021
700,"Ferrellgas Partners, L.P.",05/25/2021
701,Investar Holding Corporation,01/29/2021
702,"Xcel Brands, Inc",08/24/2021
703,Belmond Ltd.,09/14/2021
704,Sempra Energy,01/01/2021
705,"Xenia Hotels & Resorts, Inc.",08/19/2021
706,"Lion Biotechnologies, Inc.",07/19/2021
707,"Kingsway Financial Services, Inc.",11/11/2021
708,"Landcadia Holdings, Inc.",10/25/2021
709,GSV Capital Corp,06/20/2021
710,Benitec Biopharma Limited,12/09/2021
711,"Bioptix, Inc",07/20/2021
712,First Trust Total US Market AlphaDEX ETF,07/16/2021
713,Sumitomo Mitsui Financial Group Inc,12/02/2021
714,"Community First Bancshares, Inc.",04/14/2021
715,Fidus Investment Corporation,01/29/2021
716,"New America High Income Fund, Inc. (The)",09/28/2021
717,Seanergy Maritime Holdings Corp,07/11/2021
718,"Alamo Group, Inc.",10/27/2021
719,Intelsat S.A.,07/10/2021
720,"BeiGene, Ltd.",05/03/2021
721,CTI Industries Corporation,09/30/2021
722,Alpine Total Dynamic Dividend Fund,09/05/2021
723,Baltimore Gas & Electric Company,02/16/2021
724,"Dynex Capital, Inc.",09/25/2021
725,Biogen Inc.,11/18/2021
726,"Benefitfocus, Inc.",07/03/2021
727,Crawford & Company,03/20/2021
728,"MFA Financial, Inc.",02/01/2021
729,Employers Holdings Inc,12/28/2021
730,Boulevard Acquisition Corp. II,09/29/2021
731,AMC Networks Inc.,04/03/2021
732,PAVmed Inc.,05/07/2021
733,Regal Entertainment Group,05/08/2021
734,Baker Hughes Incorporated,04/05/2021
735,"Athenex, Inc.",07/12/2021
736,ENI S.p.A.,03/24/2021
737,"MINDBODY, Inc.",10/25/2021
738,"Ramaco Resources, Inc.",11/22/2021
739,KLX Inc.,12/02/2021
740,MB Financial Inc.,04/07/2021
741,"RE/MAX Holdings, Inc.",10/29/2021
742,"GenMark Diagnostics, Inc.",03/03/2021
743,Egalet Corporation,12/07/2021
744,Coty Inc.,07/04/2021
745,Lakeland Financial Corporation,04/22/2021
746,SEI Investments Company,02/24/2021
747,EnteroMedics Inc.,09/24/2021
748,"Archrock Partners, L.P.",08/16/2021
749,"DHT Holdings, Inc.",12/28/2021
750,Incyte Corporation,03/28/2021
751,Gencor Industries Inc.,03/06/2021
752,"Healthcare Services Group, Inc.",10/14/2021
753,"Berkshire Hills Bancorp, Inc.",03/20/2021
754,iSectors Post-MPT Growth ETF,03/03/2021
755,"ArQule, Inc.",05/23/2021
756,"Simon Property Group, Inc.",04/22/2021
757,PowerShares Russell 1000 Low Beta Equal Weight Portfolio,04/28/2021
758,BB&T Corporation,07/28/2021
759,"Aimmune Therapeutics, Inc.",06/09/2021
760,Eaton Vance Tax-Advantaged Global Dividend Income Fund,08/01/2021
761,Adobe Systems Incorporated,04/29/2021
762,Rocket Fuel Inc.,03/19/2021
763,"Scudder Global High Income Fund, Inc.",08/23/2021
764,Capital City Bank Group,05/07/2021
765,Kopin Corporation,08/15/2021
766,"Gartner, Inc.",07/16/2021
767,"Enviva Partners, LP",08/22/2021
768,Equity Commonwealth,02/24/2021
769,"ICC Holdings, Inc.",08/27/2021
770,Puma Biotechnology Inc,08/27/2021
771,"First Savings Financial Group, Inc.",11/09/2021
772,ResMed Inc.,05/09/2021
773,WisdomTree Middle East Dividend Fund,08/10/2021
774,National Research Corporation,08/18/2021
775,iShares Commodities Select Strategy ETF,09/20/2021
776,Alamos Gold Inc.,06/13/2021
777,"Guidance Software, Inc.",11/18/2021
778,Invesco High Income 2023 Target Term Fund,07/14/2021
779,"Moleculin Biotech, Inc.",06/26/2021
780,"Prudential Financial, Inc.",10/14/2021
781,"FTD Companies, Inc.",09/27/2021
782,Nuveen Real Asset Income and Growth Fund,06/01/2021
783,"KCAP Financial, Inc.",08/17/2021
784,Origo Acquisition Corporation,09/13/2021
785,Boyd Gaming Corporation,01/11/2021
786,Citizens & Northern Corp,12/12/2021
787,"Bankrate, Inc.",09/16/2021
788,"Zogenix, Inc.",03/20/2021
789,Urban Edge Properties,05/17/2021
790,Kearny Financial,03/15/2021
791,"Federated Investors, Inc.",09/12/2021
792,MGM Growth Properties LLC,11/02/2021
793,"Limelight Networks, Inc.",02/20/2021
794,"Healthcare Trust of America, Inc.",11/15/2021
795,Tenaris S.A.,05/20/2021
796,E.I. du Pont de Nemours and Company,03/06/2021
797,"Stoneridge, Inc.",01/10/2021
798,Galmed Pharmaceuticals Ltd.,03/09/2021
799,BlackBerry Limited,11/03/2021
800,Forum Merger Corporation,02/26/2021
801,Silicom Ltd,05/06/2021
802,The Middleby Corporation,10/10/2021
803,U.S. Energy Corp.,04/10/2021
804,Nuveen Diversified Dividend and Income Fund,10/05/2021
805,Pimco California Municipal Income Fund II,11/12/2021
806,J P Morgan Chase & Co,11/06/2021
807,"MercadoLibre, Inc.",03/09/2021
808,Alabama Power Company,08/14/2021
809,Exact Sciences Corporation,05/04/2021
810,Endo International plc,05/24/2021
811,"Intuitive Surgical, Inc.",10/17/2021
812,American Superconductor Corporation,05/22/2021
813,"My Size, Inc.",06/24/2021
814,First Bank,04/27/2021
815,"Cardinal Health, Inc.",06/05/2021
816,Eaton Vance Floating Rate Income Trust,08/27/2021
817,Costamare Inc.,07/16/2021
818,"Clovis Oncology, Inc.",01/01/2021
819,American Homes 4 Rent,10/10/2021
820,"Sturm, Ruger & Company, Inc.",03/27/2021
821,Sumitomo Mitsui Financial Group Inc,12/13/2021
822,"PennyMac Financial Services, Inc.",12/31/2021
823,"Oceaneering International, Inc.",09/14/2021
824,Bank of America Corporation,04/20/2021
825,DISH Network Corporation,04/10/2021
826,"South Jersey Industries, Inc.",09/12/2021
827,MSA Safety Incorporporated,05/31/2021
828,Immersion Corporation,07/09/2021
829,"Village Super Market, Inc.",08/23/2021
830,"Global Brokerage, Inc.",02/22/2021
831,"Maiden Holdings, Ltd.",06/04/2021
832,Pattern Energy Group Inc.,12/23/2021
833,Superconductor Technologies Inc.,10/07/2021
834,STERIS plc,06/30/2021
835,"Pinnacle Financial Partners, Inc.",08/15/2021
836,Pilgrim's Pride Corporation,07/13/2021
837,Concho Resources Inc.,02/08/2021
838,"EZCORP, Inc.",06/28/2021
839,"Newpark Resources, Inc.",05/06/2021
840,Teck Resources Ltd,11/02/2021
841,"New York REIT, Inc.",08/30/2021
842,National Research Corporation,04/28/2021
843,Select Medical Holdings Corporation,11/16/2021
844,Monsanto Company,01/11/2021
845,Kraton Corporation,06/02/2021
846,"Entergy Mississippi, Inc.",03/16/2021
847,Yintech Investment Holdings Limited,07/03/2021
848,Biohaven Pharmaceutical Holding Company Ltd.,12/24/2021
849,Approach Resources Inc.,07/27/2021
850,VWR Corporation,06/15/2021
851,"Aerohive Networks, Inc.",09/20/2021
852,"Yatra Online, Inc.",12/25/2021
853,Brookfield Business Partners L.P.,12/31/2021
854,CBO (Listing Market - NYSE - Networks A/E),01/11/2021
855,"TG Therapeutics, Inc.",06/16/2021
856,"ASB Bancorp, Inc.",12/22/2021
857,Hardinge Inc.,11/20/2021
858,Kennametal Inc.,01/24/2021
859,Valley National Bancorp,07/05/2021
860,Old Point Financial Corporation,08/12/2021
861,Sina Corporation,08/09/2021
862,"Pacira Pharmaceuticals, Inc.",10/11/2021
863,"Veracyte, Inc.",08/13/2021
864,Markel Corporation,03/23/2021
865,Franklin Universal Trust,09/29/2021
866,"Flexsteel Industries, Inc.",11/02/2021
867,iShares MSCI EAFE ESG Optimized ETF,09/17/2021
868,"Hudson Pacific Properties, Inc.",11/14/2021
869,Gabelli NextShares Trust,10/23/2021
870,RAIT Financial Trust,12/05/2021
871,First Trust Indxx Global Agriculture ETF,05/20/2021
872,Arcos Dorados Holdings Inc.,01/08/2021
873,OMNOVA Solutions Inc.,11/25/2021
874,BlackRock California Municipal Income Trust,11/30/2021
875,"ESSA Bancorp, Inc.",10/24/2021
876,"J.C. Penney Company, Inc. Holding Company",04/23/2021
877,"Synthetic Fixed-Income Securities, Inc.",05/19/2021
878,John Hancock Premium Dividend Fund,12/01/2021
879,First Trust Cloud Computing ETF,03/07/2021
880,Virtus Total Return Fund Inc.,02/27/2021
881,GMS Inc.,02/22/2021
882,UnitedHealth Group Incorporated,08/03/2021
883,"Telenav, Inc.",03/01/2021
884,Capital One Financial Corporation,08/14/2021
885,Purefunds Solactive FinTech ETF,11/06/2021
886,Nortech Systems Incorporated,10/02/2021
887,Nabriva Therapeutics AG,08/14/2021
888,Dynegy Inc.,06/20/2021
889,"Darden Restaurants, Inc.",03/15/2021
890,EXFO Inc,01/23/2021
891,ENGlobal Corporation,03/11/2021
892,Ameren Corporation,08/10/2021
893,"Canon, Inc.",07/05/2021
894,Invesco Pennsylvania Value Municipal Income Trust,01/19/2021
895,Pacific Continental Corporation (Ore),04/15/2021
896,"Aerohive Networks, Inc.",09/11/2021
897,CorVel Corp.,08/05/2021
898,First Potomac Realty Trust,02/18/2021
899,Gabelli Dividend,03/19/2021
900,Active Alts Contrarian ETF,12/30/2021
901,Loncar Cancer Immunotherapy ETF,10/31/2021
902,Liberty Media Corporation,05/13/2021
903,"Hollysys Automation Technologies, Ltd.",08/30/2021
904,A.H. Belo Corporation,07/15/2021
905,"Hertz Global Holdings, Inc",06/11/2021
906,Wheaton Precious Metals Corp.,02/03/2021
907,American Homes 4 Rent,09/03/2021
908,TESSCO Technologies Incorporated,01/14/2021
909,Cyanotech Corporation,09/22/2021
910,Global Partner Acquisition Corp.,08/01/2021
911,Solar Capital Ltd.,03/01/2021
912,B.O.S. Better Online Solutions,11/15/2021
913,Agree Realty Corporation,06/11/2021
914,"Praxair, Inc.",01/29/2021
915,"Safe Bulkers, Inc",06/17/2021
916,Fortive Corporation,12/26/2021
917,CNH Industrial N.V.,11/04/2021
918,"USA Compression Partners, LP",06/30/2021
919,OFG Bancorp,12/09/2021
920,"MaxLinear, Inc",03/16/2021
921,"PDC Energy, Inc.",06/21/2021
922,"Dreyfus Strategic Municipal Bond Fund, Inc.",10/01/2021
923,CVD Equipment Corporation,04/18/2021
924,Eagle Growth and Income Opportunities Fund,04/18/2021
925,CTS Corporation,08/02/2021
926,"Cedar Realty Trust, Inc.",06/18/2021
927,"Hawaiian Electric Industries, Inc.",01/30/2021
928,First Trust Capital Strength ETF,08/26/2021
929,"Rennova Health, Inc.",03/24/2021
930,Galmed Pharmaceuticals Ltd.,05/01/2021
931,"Republic First Bancorp, Inc.",09/02/2021
932,"Redwood Trust, Inc.",01/26/2021
933,PIMCO Dynamic Income Fund,11/08/2021
934,"Pretium Resources, Inc.",08/30/2021
935,Banco Bradesco Sa,07/09/2021
936,"Aerohive Networks, Inc.",02/05/2021
937,"Forrester Research, Inc.",12/09/2021
938,AGNC Investment Corp.,01/02/2021
939,Pebblebrook Hotel Trust,12/17/2021
940,"General Mills, Inc.",06/03/2021
941,Lazard Global Total Return and Income Fund,08/14/2021
942,"Core-Mark Holding Company, Inc.",10/05/2021
943,"Royce Global Value Trust, Inc.",12/25/2021
944,Royal Bank Scotland plc (The),03/09/2021
945,Ames National Corporation,04/04/2021
946,BB&T Corporation,12/07/2021
947,Allstate Corporation (The),05/15/2021
948,Unico American Corporation,08/01/2021
949,FIRST REPUBLIC BANK,04/20/2021
950,Paylocity Holding Corporation,07/18/2021
951,"Telephone and Data Systems, Inc.",02/23/2021
952,Psychemedics Corporation,08/08/2021
953,WisdomTree Western Asset Unconstrained Bond Fund,12/28/2021
954,Five Star Senior Living Inc.,04/19/2021
955,DoubleLine Income Solutions Fund,08/20/2021
956,Public Storage,11/28/2021
957,Westamerica Bancorporation,07/30/2021
958,United Insurance Holdings Corp.,10/23/2021
959,John Hancock Tax-Advantaged Global Shareholder Yield Fund,06/11/2021
960,Ryanair Holdings plc,01/17/2021
961,"Albany Molecular Research, Inc.",11/26/2021
962,"Axcelis Technologies, Inc.",03/10/2021
963,"Provident Financial Holdings, Inc.",03/21/2021
964,Blackrock MuniYield Investment QualityFund,10/16/2021
965,Netshoes (Cayman) Limited,03/16/2021
966,Frontier Communications Corporation,03/22/2021
967,"Netlist, Inc.",01/15/2021
968,Lockheed Martin Corporation,08/29/2021
969,"TeleTech Holdings, Inc.",07/23/2021
970,Discover Financial Services,04/14/2021
971,"Omega Healthcare Investors, Inc.",09/13/2021
972,Northrop Grumman Corporation,05/20/2021
973,"Universal Stainless & Alloy Products, Inc.",12/31/2021
974,"Seabridge Gold, Inc.",03/17/2021
975,"Speedway Motorsports, Inc.",12/06/2021
976,"MCBC Holdings, Inc.",02/21/2021
977,GATX Corporation,07/09/2021
978,Good Times Restaurants Inc.,08/22/2021
979,Banco Bradesco Sa,12/29/2021
980,Manulife Financial Corp,07/19/2021
981,CDI Corporation,12/25/2021
982,Bank of America Corporation,12/05/2021
983,Evercore Partners Inc,04/09/2021
984,WMIH Corp.,03/12/2021
985,"Republic Services, Inc.",03/08/2021
986,CoreSite Realty Corporation,01/26/2021
987,First Trust Dorsey Wright International Focus 5 ETF,10/03/2021
988,The Priceline Group Inc. ,06/07/2021
989,Adaptimmune Therapeutics plc,05/28/2021
990,"TrueCar, Inc.",09/22/2021
991,Nabors Industries Ltd.,03/18/2021
992,Landmark Infrastructure Partners LP,09/18/2021
993,Silgan Holdings Inc.,07/20/2021
994,"Legg Mason, Inc.",06/27/2021
995,"NextEra Energy, Inc.",09/21/2021
996,"Atlas Financial Holdings, Inc.",07/15/2021
997,"Wecast Network, Inc.",02/22/2021
998,McEwen Mining Inc.,10/07/2021
999,Kornit Digital Ltd.,03/06/2021
1000,First Trust Nasdaq Semiconductor ETF,07/07/2021
