603,"Teradyne, Inc.",2021/04/24
604,Kayne Anderson MLP Investment Company,2021/10/31
605,WSI Industries Inc.,2021/04/26
606,WGL Holdings Inc,2021/05/20
607,Drive Shack Inc.,2021/06/18
608,La-Z-Boy Incorporated,2021/08/31
609,Lsb Industries Inc.,2021/04/04
610,U.S. Bancorp,2021/07/08
611,FIRST REPUBLIC BANK,2021/01/10
612,Flex Ltd.,2021/07/03
613,"Royal Gold, Inc.",2021/10/15
614,Simmons First National Corporation,2021/10/24
615,Trinseo S.A.,2021/06/23
616,"Mellanox Technologies, Ltd.",2021/06/22
617,"Pernix Therapeutics Holdings, Inc.",2021/10/04
618,"WCF Bancorp, Inc.",2021/03/21
619,Intel Corporation,2021/12/25
620,Intercontinental Hotels Group,2021/07/24
621,"American Financial Group, Inc.",2021/11/19
622,Pebblebrook Hotel Trust,2021/03/04
623,"PNC Financial Services Group, Inc. (The)",2021/04/20
624,"Landstar System, Inc.",2021/04/29
625,"Spectra Energy Partners, LP",2021/10/18
626,TCF Financial Corporation,2021/03/03
627,"MBIA, Inc.",2021/08/23
628,"Capitol Federal Financial, Inc.",2021/12/29
629,Liberty Media Corporation,2021/09/04
630,First Trust Senior Floating Rate 2022 Target Term Fund,2021/09/20
631,"Global Blood Therapeutics, Inc.",2021/06/23
632,"Oncobiologics, Inc.",2021/05/17
633,"KMG Chemicals, Inc.",2021/05/21
634,"Veritex Holdings, Inc.",2021/01/04
635,ZTO Express (Cayman) Inc.,2021/10/14
636,Advent/Claymore Enhanced Growth & Income Fund,2021/09/04
637,PJT Partners Inc.,2021/08/14
638,"ASV Holdings, Inc.",2021/06/03
639,Approach Resources Inc.,2021/09/18
640,"Callidus Software, Inc.",2021/03/15
641,Lightbridge Corporation,2021/11/04
642,"Sinclair Broadcast Group, Inc.",2021/02/17
643,"Web.com Group, Inc.",2021/10/17
644,Mistras Group Inc,2021/07/29
645,"Dover Motorsports, Inc.",2021/01/25
646,"TRC Companies, Inc.",2021/01/23
647,"NETGEAR, Inc.",2021/04/06
648,American Homes 4 Rent,2021/11/28
649,Invesco Trust  for Investment Grade New York Municipal,2021/09/16
650,"The Finish Line, Inc.",2021/03/28
651,American Homes 4 Rent,2021/08/07
652,KNOT Offshore Partners LP,2021/05/15
653,"Community First Bancshares, Inc.",2021/05/29
654,"Maiden Holdings, Ltd.",2021/10/21
655,"United-Guardian, Inc.",2021/09/08
656,KKR Income Opportunities Fund,2021/08/11
657,GGP Inc.,2021/02/23
658,GMS Inc.,2021/06/29
659,Cooper Tire & Rubber Company,2021/09/14
660,"Source Capital, Inc.",2021/06/23
661,J P Morgan Chase & Co,2021/03/25
662,First Trust Global Tactical Commodity Strategy Fund,2021/06/24
663,"Community Health Systems, Inc.",2021/08/02
664,TAT Technologies Ltd.,2021/05/30
665,"Apricus Biosciences, Inc.",2021/09/22
666,Blackrock Health Sciences Trust,2021/09/04
667,"Cloudera, Inc.",2021/01/03
668,Stellus Capital Investment Corporation,2021/03/14
669,Monroe Capital Corporation,2021/03/25
670,Ares Management L.P.,2021/09/10
671,Aegon NV,2021/06/19
672,Preformed Line Products Company,2021/12/08
673,"Imperva, Inc.",2021/01/08
674,Vical Incorporated,2021/05/21
675,Fuling Global Inc.,2021/04/29
676,Air Lease Corporation,2021/07/03
677,Centrais Electricas Brasileiras S.A.- Eletrobras,2021/03/24
678,Main Street Capital Corporation,2021/10/16
679,Comerica Incorporated,2021/10/30
680,Vodafone Group Plc,2021/12/25
681,Adesto Technologies Corporation,2021/09/26
682,ResMed Inc.,2021/05/11
683,"Paramount Group, Inc.",2021/08/17
684,CoreSite Realty Corporation,2021/07/16
685,Blackrock Municipal Bond Trust,2021/02/15
686,"Simon Property Group, Inc.",2021/10/08
687,Highway Holdings Limited,2021/12/13
688,"American Electric Technologies, Inc.",2021/07/30
689,Cintas Corporation,2021/03/02
690,Guggenheim Credit Allocation Fund,2021/09/20
691,"Perma-Fix Environmental Services, Inc.",2021/08/19
692,Norwood Financial Corp.,2021/06/18
693,"Global Ship Lease, Inc.",2021/10/11
694,Northrop Grumman Corporation,2021/09/25
695,"American Software, Inc.",2021/05/14
696,EchoStar Corporation,2021/10/22
697,"Gilead Sciences, Inc.",2021/03/16
698,"PDF Solutions, Inc.",2021/10/01
699,DISH Network Corporation,2021/12/15
700,Torchmark Corporation,2021/08/14
701,AGNC Investment Corp.,2021/01/22
702,"Simulations Plus, Inc.",2021/12/15
703,Enerplus Corporation,2021/02/24
704,"Cohen & Steers Closed-End Opportunity Fund, Inc.",2021/08/14
705,LCI Industries ,2021/02/07
706,"Deswell Industries, Inc.",2021/08/06
707,Oconee Federal Financial Corp.,2021/10/26
708,INTL FCStone Inc.,2021/07/23
709,Nam Tai Property Inc.,2021/09/27
710,Parker Drilling Company,2021/07/08
711,Axar Acquisition Corp.,2021/04/09
712,"The Finish Line, Inc.",2021/03/06
713,"LendingTree, Inc.",2021/07/26
714,Hersha Hospitality Trust,2021/01/30
715,"NI Holdings, Inc.",2021/10/28
716,"Analog Devices, Inc.",2021/10/05
717,First Trust RiverFront Dynamic Emerging Markets ETF,2021/09/16
718,"Sunshine Bancorp, Inc.",2021/05/14
719,"TripAdvisor, Inc.",2021/05/14
720,JM Global Holding Company,2021/02/27
721,EVINE Live Inc.,2021/07/03
722,"Sequential Brands Group, Inc.",2021/02/01
723,"Universal Health Services, Inc.",2021/05/16
724,Bank of Marin Bancorp,2021/04/06
725,"Sierra Wireless, Inc.",2021/03/25
726,Renasant Corporation,2021/09/14
727,Investors Real Estate Trust,2021/06/03
728,"FS Bancorp, Inc.",2021/08/04
729,"Vivint Solar, Inc.",2021/11/13
730,United Therapeutics Corporation,2021/11/11
731,"Inogen, Inc",2021/05/13
732,Quest Resource Holding Corporation.,2021/07/08
733,"Merck & Company, Inc.",2021/03/19
734,Quinpario Acquisition Corp. 2,2021/07/07
735,"InterDigital, Inc.",2021/07/09
736,"Gray Television, Inc.",2021/01/19
737,"WesBanco, Inc.",2021/08/31
738,"CSW Industrials, Inc.",2021/03/27
739,"Miragen Therapeutics, Inc.",2021/02/25
740,"WageWorks, Inc.",2021/07/07
741,Celgene Corporation,2021/06/18
742,SuperValu Inc.,2021/05/11
743,"Dunkin' Brands Group, Inc.",2021/10/04
744,Adtalem Global Education Inc.,2021/04/29
745,Colfax Corporation,2021/02/03
746,"B. Riley Financial, Inc.",2021/03/06
747,FlexShares Credit-Scored US Corporate Bond Index Fund,2021/02/13
748,Park Sterling Corporation,2021/04/08
749,Nordson Corporation,2021/07/20
750,Molina Healthcare Inc,2021/04/14
751,"Western Asset Municipal High Income Fund, Inc.",2021/06/12
752,DRDGOLD Limited,2021/09/13
753,The AES Corporation,2021/12/31
754,Quest Diagnostics Incorporated,2021/08/09
755,Cowen Inc.,2021/01/25
756,ABB Ltd,2021/06/06
757,Conduent Incorporated,2021/08/06
758,Diversicare Healthcare Services Inc.,2021/11/21
759,Kimco Realty Corporation,2021/10/13
760,"Weyco Group, Inc.",2021/07/10
761,"MSC Industrial Direct Company, Inc.",2021/09/29
762,"Four Corners Property Trust, Inc.",2021/11/06
763,"Calithera Biosciences, Inc.",2021/03/11
764,"PTC Therapeutics, Inc.",2021/12/19
765,"CorEnergy Infrastructure Trust, Inc.",2021/10/15
766,Seaspan Corporation,2021/01/13
767,Frank's International N.V.,2021/02/05
768,"Thor Industries, Inc.",2021/09/11
769,NQ Mobile Inc.,2021/12/17
770,"Blackrock MuniYield New York Quality Fund, Inc.",2021/04/04
771,"Armstrong Flooring, Inc.",2021/02/02
772,Wells Fargo & Company,2021/11/29
773,Alphabet Inc.,2021/07/13
774,"Patterson-UTI Energy, Inc.",2021/11/06
775,"Peoples Bancorp of North Carolina, Inc.",2021/08/25
776,Pioneer Floating Rate Trust,2021/01/30
777,Exxon Mobil Corporation,2021/02/05
778,"Trex Company, Inc.",2021/07/26
779,Tata Motors Ltd,2021/06/23
780,"SK Telecom Co., Ltd.",2021/09/29
781,Tech Data Corporation,2021/03/17
782,"CYS Investments, Inc.",2021/05/29
783,PICO Holdings Inc.,2021/06/03
784,"Prudential Short Duration High Yield Fund, Inc.",2021/07/11
785,Baozun Inc.,2021/01/23
786,"Enbridge Energy, L.P.",2021/11/06
787,"CACI International, Inc.",2021/07/20
788,Kamada Ltd.,2021/04/14
789,Public Storage,2021/09/17
790,Modern Media Acquisition Corp.,2021/03/05
791,First Trust Eurozone AlphaDEX ETF,2021/06/19
792,VelocityShares VIX Medium-Term ETN,2021/11/11
793,Kenon Holdings Ltd.,2021/10/20
794,Universal Technical Institute Inc,2021/12/01
795,"Western Refining Logistics, LP",2021/09/04
796,Uniti Group Inc.,2021/10/18
797,First Trust,2021/09/15
798,Alphabet Inc.,2021/05/11
799,Ellington Financial LLC,2021/09/04
800,PIMCO California Municipal Income Fund,2021/07/06
801,Resource Capital Corp.,2021/05/05
802,"PIMCO Commercial Mortgage Securities Trust, Inc.",2021/04/28
803,Nuveen Build America Bond Opportunity Fund,2021/09/30
804,Chesapeake Lodging Trust,2021/03/13
805,"Biocept, Inc.",2021/05/31
806,Insulet Corporation,2021/01/23
807,"Oncobiologics, Inc.",2021/03/04
808,"Cedar Realty Trust, Inc.",2021/01/17
809,"FBL Financial Group, Inc.",2021/12/22
810,"NCS Multistage Holdings, Inc.",2021/05/30
811,Vertex Pharmaceuticals Incorporated,2021/06/26
812,"Turkish Investment Fund, Inc. (The)",2021/01/13
813,Public Storage,2021/11/16
814,City Holding Company,2021/10/28
815,"Texas Capital Bancshares, Inc.",2021/04/02
816,Altria Group,2021/12/06
817,"Orion Energy Systems, Inc.",2021/08/12
818,"Dominion Energy, Inc.",2021/08/08
819,Gabelli Dividend,2021/01/18
820,Abeona Therapeutics Inc.,2021/05/01
821,"Nathan's Famous, Inc.",2021/04/27
822,CU Bancorp (CA),2021/08/28
823,"Texas Capital Bancshares, Inc.",2021/03/14
824,"Templeton Global Income Fund, Inc.",2021/10/20
825,Terreno Realty Corporation,2021/03/31
826,Hingham Institution for Savings,2021/04/23
827,"Banco Santander, S.A.",2021/01/10
828,"Chico's FAS, Inc.",2021/03/03
829,Boston Scientific Corporation,2021/02/26
830,FMC Corporation,2021/09/01
831,Eaton Vance Municipal Income Trust,2021/03/15
832,Ivy High Income Opportunities Fund,2021/04/17
833,Citigroup Inc.,2021/11/08
834,"Neurocrine Biosciences, Inc.",2021/09/19
835,"Poage Bankshares, Inc.",2021/01/12
836,"HealthStream, Inc.",2021/08/10
837,iStar Financial Inc.,2021/09/25
838,PetroChina Company Limited,2021/07/01
839,"Alliance MMA, Inc.",2021/11/07
840,Fortive Corporation,2021/12/10
841,"Hurco Companies, Inc.",2021/10/02
842,Union Pacific Corporation,2021/09/27
843,"TIER REIT, Inc.",2021/09/18
844,Pampa Energia S.A.,2021/06/28
845,Allstate Corporation (The),2021/01/29
846,iPass Inc.,2021/10/26
847,"CDK Global, Inc.",2021/11/08
848,Wells Fargo & Company,2021/01/19
849,Barington/Hilco Acquisition Corp.,2021/10/25
850,"Synthetic Fixed-Income Securities, Inc.",2021/06/13
851,"Avon Products, Inc.",2021/09/09
852,Corcept Therapeutics Incorporated,2021/04/03
853,"Kandi Technologies Group, Inc.",2021/09/05
854,National General Holdings Corp,2021/12/08
855,"Marten Transport, Ltd.",2021/06/16
856,DTE Energy Company,2021/04/01
857,NXP Semiconductors N.V.,2021/10/06
858,NXT-ID Inc.,2021/03/19
859,The Cheesecake Factory Incorporated,2021/01/06
860,"LivePerson, Inc.",2021/12/28
861,"General Communication, Inc.",2021/05/14
862,iShares Commodities Select Strategy ETF,2021/01/13
863,Adecoagro S.A.,2021/09/01
864,"BioCryst Pharmaceuticals, Inc.",2021/02/13
865,Liberty Global plc,2021/05/17
866,"Redwood Trust, Inc.",2021/11/25
867,PowerShares DWA Basic Materials Momentum Portfolio,2021/04/15
868,"BLACKROCK INTERNATIONAL, LTD.",2021/07/07
869,First Trust Dorsey Wright Dynamic Focus 5 ETF,2021/07/30
870,"Ambac Financial Group, Inc.",2021/05/25
871,PIMCO New York Municipal Income Fund III,2021/07/22
872,Nuveen North Carolina Quality Municipal Income Fd,2021/04/12
873,Lindblad Expeditions Holdings Inc. ,2021/10/12
874,Omega Protein Corporation,2021/08/03
875,Lehman ABS Corporation,2021/02/13
876,Technical Communications Corporation,2021/05/10
877,"John B. Sanfilippo & Son, Inc.",2021/11/09
878,"Sunstone Hotel Investors, Inc.",2021/06/29
879,"CF Industries Holdings, Inc.",2021/12/06
880,"Cypress Energy Partners, L.P.",2021/10/03
881,"LendingTree, Inc.",2021/06/28
882,Liberty Media Corporation,2021/07/10
883,Sina Corporation,2021/10/06
884,AllianzGI Convertible & Income Fund,2021/09/13
885,Virtusa Corporation,2021/03/14
886,First Trust Small Cap Growth AlphaDEX Fund,2021/08/24
887,"AAC Holdings, Inc.",2021/07/02
888,"e.l.f. Beauty, Inc.",2021/06/08
889,"Halyard Health, Inc.",2021/05/19
890,"Diversified Restaurant Holdings, Inc.",2021/07/06
891,"Reinsurance Group of America, Incorporated",2021/05/14
892,"Nutanix, Inc.",2021/03/23
893,Hexcel Corporation,2021/10/27
894,China Eastern Airlines Corporation Ltd.,2021/07/12
895,Luminex Corporation,2021/06/15
896,Azul S.A.,2021/12/18
897,Ingredion Incorporated,2021/08/16
898,NXT-ID Inc.,2021/10/13
899,"Heartland Financial USA, Inc.",2021/05/10
900,"Templeton Global Income Fund, Inc.",2021/03/16
901,"Wayside Technology Group, Inc.",2021/10/17
902,O2Micro International Limited,2021/05/20
903,Pimco Corporate & Income Stategy Fund,2021/06/22
904,"Ocular Therapeutix, Inc.",2021/06/08
905,"Crossroads Systems, Inc.",2021/07/21
906,"Shutterstock, Inc.",2021/05/20
907,PowerShares International Dividend Achievers Portfolio,2021/06/26
908,Duke Realty Corporation,2021/09/27
909,"Just Energy Group, Inc.",2021/01/25
910,"Goldman Sachs Group, Inc. (The)",2021/02/06
911,Liberty Interactive Corporation,2021/10/05
912,"Adams Natural Resources Fund, Inc.",2021/08/06
913,"Avon Products, Inc.",2021/08/21
914,BioAmber Inc.,2021/05/06
915,Kitov Pharmaceuticals Holdings Ltd.,2021/06/01
916,"Blackhawk Network Holdings, Inc.",2021/01/25
917,"Blackrock MuniHoldings Fund, Inc.",2021/01/20
918,Independent Bank Corp.,2021/01/05
919,Enel Generacion Chile S.A.,2021/09/07
920,"Colony NorthStar, Inc.",2021/01/26
921,Southern California Edison Company,2021/12/15
922,Southern Company (The),2021/05/30
923,MSG Networks Inc.,2021/03/12
924,AdvanSix Inc.,2021/10/07
925,Cenovus Energy Inc,2021/02/24
926,Ares Capital Corporation,2021/02/21
927,"Jaguar Animal Health, Inc.",2021/02/26
928,"Alphatec Holdings, Inc.",2021/01/03
929,Parker Drilling Company,2021/12/11
930,"Saul Centers, Inc.",2021/11/13
931,"American Capital Senior Floating, Ltd.",2021/07/22
932,"Merrimack Pharmaceuticals, Inc.",2021/02/19
933,"BioTelemetry, Inc.",2021/05/30
934,M&T Bank Corporation,2021/03/30
935,Ivy NextShares,2021/12/02
936,"Patterson-UTI Energy, Inc.",2021/06/08
937,"NextEra Energy, Inc.",2021/06/09
938,Newfield Exploration Company,2021/10/02
939,Delta Technology Holdings Limited,2021/01/13
940,Cincinnati Bell Inc,2021/01/14
941,RADA Electronic Industries Ltd.,2021/07/05
942,Erie Indemnity Company,2021/09/29
943,Bryn Mawr Bank Corporation,2021/07/20
944,Putnam Municipal Opportunities Trust,2021/01/05
945,"Bear State Financial, Inc.",2021/03/21
946,"Alaska Air Group, Inc.",2021/08/04
947,Brookfield Global Listed Infrastructure Income Fund,2021/11/02
948,"Alico, Inc.",2021/02/04
949,"BWX Technologies, Inc.",2021/11/29
950,"EV Energy Partners, L.P.",2021/08/03
951,Nuveen Intermediate Duration Municipal Term Fund,2021/07/18
952,"China Natural Resources, Inc.",2021/03/29
953,"CapStar Financial Holdings, Inc.",2021/06/28
954,"Sportsman's Warehouse Holdings, Inc.",2021/01/09
955,ENI S.p.A.,2021/08/07
956,Envision Healthcare Corporation,2021/11/07
957,Midatech Pharma PLC,2021/11/14
958,Nuven Mortgage Opportunity Term Fund 2,2021/02/21
959,"Texas Roadhouse, Inc.",2021/04/11
960,First Trust Total US Market AlphaDEX ETF,2021/05/26
961,"Treehouse Foods, Inc.",2021/02/18
962,RiceBran Technologies,2021/10/08
963,First Trust NASDAQ Cybersecurity ETF,2021/06/23
964,Blackrock Health Sciences Trust,2021/06/06
965,"PayPal Holdings, Inc.",2021/05/26
966,Antero Midstream Partners LP,2021/10/24
967,"Gaming and Leisure Properties, Inc.",2021/04/19
968,"Evolving Systems, Inc.",2021/02/10
969,Tsakos Energy Navigation Ltd,2021/07/16
970,Verizon Communications Inc.,2021/12/14
971,Nektar Therapeutics,2021/08/07
972,"Bio-Rad Laboratories, Inc.",2021/08/19
973,Avadel Pharmaceuticals plc,2021/08/06
974,A.H. Belo Corporation,2021/07/28
975,Deckers Outdoor Corporation,2021/11/05
976,Heico Corporation,2021/04/08
977,Cabot Corporation,2021/02/05
978,"Financial Engines, Inc.",2021/08/05
979,Hallador Energy Company,2021/05/06
980,BLDRS Asia 50 ADR Index Fund,2021/10/28
981,"Southern National Bancorp of Virginia, Inc.",2021/10/31
982,"OncoMed Pharmaceuticals, Inc.",2021/08/30
983,Evogene Ltd.,2021/08/13
984,Bank of the Ozarks,2021/04/22
985,First Trust Brazil AlphaDEX Fund,2021/11/26
986,Christopher & Banks Corporation,2021/09/12
987,Principal Financial Group Inc,2021/04/27
988,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",2021/01/09
989,"Century Bancorp, Inc.",2021/05/18
990,Eaton Vance NextShares Trust,2021/12/03
991,"Empire State Realty Trust, Inc.",2021/10/10
992,Stellus Capital Investment Corporation,2021/11/29
993,"Ulta Beauty, Inc.",2021/04/11
994,"AAC Holdings, Inc.",2021/03/18
995,"Midland States Bancorp, Inc.",2021/02/17
996,"Micron Technology, Inc.",2021/08/22
997,"Landcadia Holdings, Inc.",2021/12/05
998,The Cushing MLP Total Return Fund,2021/08/02
999,Advent Claymore Convertible Securities and Income Fund II,2021/11/29
1000,WAVE Life Sciences Ltd.,2021/09/04
